age_group,initial_grade,bbd_severity_label,technique,deflux_volume_ml,mean_forward_flow_ml_s,reflux_fraction,filling_reflux_fraction,voiding_reflux_fraction,obstruction_index,peak_pelvis_pa,severe_obstruction_any
12_18m,2,severe,hit,0.45,0.003509909748357444,0.03800724638717763,0.0,0.18596943666795518,0.09955009394067711,901.3448218135995,0
12_18m,2,severe,hit,0.5,0.0034488418167934543,0.0386543192256745,0.0,0.188612575011145,0.10261637716186792,901.7861599451828,0
12_18m,2,severe,hit,0.55,0.0033952886010406255,0.03923994763538066,0.0,0.19099072618613355,0.10539997728592874,902.173175757832,0
12_18m,2,severe,hit,0.6,0.0033482089905608114,0.03976946039803107,0.0,0.19312968829136637,0.10792383745801477,902.5133976165257,0
12_18m,2,severe,hit,0.7,0.0032671420013091956,0.04071511248549246,0.0,0.19692329526515873,0.11244781810686226,903.0992052610897,0
12_18m,2,severe,hit,0.8,0.0031959871675747912,0.04158254616177684,0.0,0.20037388411791046,0.11661653099973102,903.6133585124147,0
12_18m,2,severe,hit,1.0,0.003068051800147285,0.04323895242444434,0.0,0.2068933985052182,0.12463496279431663,904.5375503965495,0
12_18m,2,severe,hit,1.2,0.0029518089896002544,0.04486237412089936,0.0,0.21319442658399254,0.13256622637173032,905.3770590237598,0
12_18m,2,severe,hit,1.5,0.002794007018137249,0.0472692114070378,0.0,0.2223699208104406,0.14444755581544172,906.5166218106659,0
12_18m,2,severe,hit,2.0,0.0025671176339528657,0.051214318189301486,0.0,0.23700067197731603,0.1642476026739646,908.1548976445939,0
12_18m,2,severe,double_hit,0.0,0.009396140627260624,0.4875364973576263,0.11370702398105412,0.798791964040719,0.0062500000000000186,929.2837833617418,0
12_18m,2,severe,double_hit,0.05,0.00885881224282502,0.41268454077604744,0.07131527535723754,0.7554226555004772,0.006660056874697981,911.2458257526371,0
12_18m,2,severe,double_hit,0.1,0.008113489361583561,0.28439162836299636,0.0246360534273908,0.655083443461005,0.008655673586730247,892.5731900559636,0
12_18m,2,severe,double_hit,0.15,0.007438842137063272,0.12793454812644994,0.0008244189514718721,0.4369168830422939,0.01206361471840612,880.4421476534706,0
12_18m,2,severe,double_hit,0.2,0.006812354919768376,0.0316401192084085,0.0,0.15587979806204844,0.0178767769491113,878.1156829383517,0
12_18m,2,severe,double_hit,0.25,0.006047054347411387,0.020833311321902935,0.0,0.11002147517036,0.028421463057523473,882.9092082430178,0
12_18m,2,severe,double_hit,0.3,0.004938911043749753,0.012136864357416288,0.0,0.06948595710927898,0.04997861357071921,890.4059620225553,0
12_18m,2,severe,double_hit,0.35,0.003360547759197799,0.003434655072637156,0.0,0.022631200859688737,0.10678277309478938,901.467679899219,0
12_18m,2,severe,double_hit,0.4,0.0030652777255010984,0.002048281778027983,0.0,0.013818913207671537,0.1242731291629308,903.5686883565497,0
